,fluxes,reduced_costs
NTPTP1,0.0,-242.95380451148412
NTPTP2,0.0,669.3968792397745
CYTDK1,0.0,-215.63634637434006
RPE,1.4907461568167562,-12.829474357885658
DHQTi,0.13257392181732228,-24.646228271835753
IPMD_num1,0.0,-9.921265754290346
AIRC3,0.0,1572.5101929939196
TALA_num1,0.0,-3.5414317814596643
PUNP1,0.0,31.33126435228985
PUNP2,0.0,-834.2552622314591
PUNP3_num1,0.0,1623.4488621538635
ADSL2r,0.15576711406743116,-336.3096730500686
TKT1_num1,0.0,-2.7956024190751236
EX_fe2_e,0.0,2.0
PUNP5_num1,0.0,65.35860516157663
PUNP6_num1,0.0,-697.3437711967663
PUNP7,0.0,1779.5657403546893
G6PDA,0.0,4152.06834963774
RNDR1_num1,0.0,1717.2601740265109
ALCD2x_num1,0.0,4767.975747400478
RNDR3_num1,0.0,551.1049421678458
RNDR4_num1,0.0,1531.859000933212
ALDD2y_num1,0.0,250.03721851239595
TMDS,0.009101958281460787,-202.36468003422488
RMI,0.0,-475.8309452908536
TMDK1,0.0,-207.7300202389579
LYSAM,0.0,-130.90396032843455
PPCDC,0.0002344538669152774,-84524.71280461604
FTHFD,0.0,1665.517973837741
EX_glc__D_e,0.0,1.9999999999990479
DHAD1,0.3041524098710551,-9.590027488585292
IPPMIa,0.0,650.5835649776486
EX_alltn_e,0.0,214.29189375388802
G3PD7,0.0,509.446523406059
EDD,0.0,133.6311394231298
EX_ura_e,0.0,2492.2275197258487
NADH9_num1,0.0,596.5140623400166
EX_val__L_e,0.0,5696.496924811187
NADH10_num1,0.0,324.5874995114228
ADK4,0.0,-221.22195976048715
INSK,0.0,875.0431758839768
MDH,0.0,-13.240011663807593
ABTA_num1,0.0,2938.1619101123447
EX_xan_e,0.0,13025.56144478801
FUM_num1,0.3627397875197188,-102.88527994424862
FMNAT,7.757153163516609e-05,-9389.030840246256
PYDXNK,0.0,991.1263179704547
PYAM5PO,0.0,1764.8594537936442
SSALx,0.0,-150.43082284416244
ASPT,0.0,1548.6299010693606
OHPBAT,0.0,-1935278.4133670651
SERD_L_num1,0.0,1437.104464194747
EX_dgsn_e,0.0,18898.60165682053
NADDP_num1,0.0,-490.7416265700686
EX_arab__L_e,0.0,-2.0
EX_fru_e,0.0,88.3138646542791
THRD_num1,0.0,287.3785766890996
HEX4,0.0,-2.0000000000000284
EX_gal_e,0.0,2367.247141031202
NMNAT_num1,0.0,3168.4150327608695
EX_xyl__D_e,0.0,-2.0
KARA1,0.0,5762.363241794401
HMPK1_num1,0.0,-50.680860236345325
KARA2,0.10106179154454335,-7015.8983795548365
EX_duri_e,0.0,7142.873507689053
EX_for_e,0.0,191.0743674006591
EX_gly_e,0.0,2208.559432494454
EX_h2_e,0.0,204.01089847827885
EX_lys__L_e,0.0,6027.484589476358
ACCOAC,0.8394916381142377,-775.8685739285747
NADK,0.00015549091767308595,-4322.562570475791
GLXCL,0.0,1256.1207265348182
ICHORS_copy2,0.0,1879.6932956445892
SUCBZS,0.0,-123.63821553543676
DHBD,0.0,1799.4935470029577
ICHORT,0.0,572.6817146048843
EX_ser__L_e,0.0,1202.625566367049
EX_thm_e,0.0,2849474.015093865
EX_trp__L_e,0.0,10993.671457819195
GLUTRR,0.0012411445061626574,-839.6643982812484
GLCS1,0.0,-359.3510516739343
GLCP_num1,0.0,411.91465273275645
EX_din_e,0.0,16019.951665467584
RBK_L1,0.0,1577.5942123079803
RBP4E_num1,0.0,-28.249304091387216
TARTD,0.0,-242.9677390043214
NTD2_num1,0.0,624.7155036232598
GLCRAL,0.0,-582.9317182675876
NTD4_num1,0.0,698.5257325391931
NTD5_num1,0.0,978.6565431204797
EX_fmn_e,0.0,0.0
EX_gthox_e,0.0,0.0
KAS14_num1,0.0,-799.031736442591
HEMEOS,0.0,-276.23753542399686
ADMDC,0.0,1396754.3549054454
AGMT,0.0,-170.15312363203793
NTD6_num1,0.0,28.47071802180176
LGTHL,0.0,455.21177722439825
PYDXPP_num1,0.0,1428.9468683288967
PDXPP,0.0,-118.50719427094975
ARGDC,0.0,12284.187053244843
HACD6_num1,0.0,12.024992714979874
ECOAH1_num1,0.0,400.77846632362343
ECOAH2_num1,0.0,-141.1445268561365
ARGSS,0.10289254926201366,-1735.8071248265135
AGPR,0.0,190.8603256795813
SPMS,0.0,-275.048714146812
G1SAT,0.0012411445061626574,-24522.602390241213
KDOCT2,0.013535710488733555,-161.91843248083498
ECOAH3_num1,0.0,-154.93961376778316
UGLT,0.0,1413.1342857086709
EDTXS1,0.0,-246.27535377867025
DXPS,0.0009861672295322665,-2992.2334186094076
OAADC,0.0,1101.435666364652
MNNH,0.0,-73.5898822146982
CDPMEK,0.0008310241662619343,-1159.2134428675254
EDTXS2,0.0,-146.25799219981127
ALTRH,0.0,-69.80116970502166
MECDPS,0.0008310241662619343,-13701.801048883874
GUI1,0.0,-56.866091032866805
EDTXS3,0.0,-188.40471205304493
PGAMT,0.0,695.7200659552586
DDGLK,0.0,596.5928672833124
EDTXS4,0.0,-53.44559730683977
XYLI2,0.0,435.10246924579025
PMANM,0.0,-139.68112380233976
ICL,0.0,985.013763099121
UAGDP,0.03286806673158553,-226.33182341574474
UAGCVT,0.009666178121425988,-332.3291193058078
GLUR,0.0,104.51584651178018
EX_tmao_e,0.0,-2.0
UAG2E,0.0,-131.31543125534427
EX_acald_e,0.0,260.3855415005528
GLYCL,0.0,2490.584806178551
CMPN,0.0,-2.0
NNDPR,0.000792412327646102,-3466.6186267666144
HCYSMT,0.0,1756530.4844657106
EX_melib_e,0.0,1763.5663648735367
MACPD,0.0,3868.714637379886
DMQMT,0.0,1772743.7304921902
UDPG4E,0.0,-481.2251784956584
LACZ,0.0,-176.9629691202739
TRE6PH,0.0,-180.19851278370658
XYLI1,0.0,-729.4123440583967
PPC,1.0295714582445596,-211.51932444760348
ICHORS_copy1,0.0,1609.7749665802903
EX_sucr_e,0.0,0.0
ALDD4,0.0,-2.000000000001876
HACD4_num1,0.0,791.1503595943741
G3PT_num1,0.0,481.1010911265237
CINNDO,0.0,-324.02012033218034
DHPPD,0.0,460.94123803893126
EX_tre_e,0.0,-2.0
EX_zn2_e,0.0,2.0
HACD5_num1,0.0,8.982790241012538
DHCIND,0.0,-169.5888904762369
HACD7_num1,0.0,-198.39038647996765
CITL,0.0,487.02142202752134
GOFUCR,0.0,-633.5084484576173
PYDXK_num1,0.0,-582.8065772328846
DNMPPA,0.00023271459490550894,-1.9999999999587388
HPPK2,0.00023271459490550894,-2750.285337533255
PTPATi,0.0002344538669152774,-4734.750921372457
HEX7,0.0,-92.25228766420062
DXPRIi,0.0008310241662619343,-641.584441310576
GTPCII2,0.00015514306327033217,-8853.849847022444
URIC,0.0,-2.0
SADT2,0.08608770310374071,-302.0050956815785
OPHBDC,7.757153163516609e-05,-3075.398513564275
AACPS1,0.0,-843.1458004536028
OHPHM,0.0,2180995.213470914
GHMT2r,0.36903108223341397,-690.8894579665966
DHORD2,0.11503440716212791,-46.72279980756184
LCARS,0.0,-151.72379586950225
ALCD19_num1,0.0,355.1681587418734
RMPA,0.0,2206.9528711168405
SBTPD,0.0,383.3989344595084
PFK_2,0.0,-238.14910155787314
GLTPD,0.0,797.3364962676478
EX_hdcea_e,0.0,55511.87926546498
ACACCT_num1,0.0,77.70901966525707
SDPDS,0.12903624254947632,-6.690534939345071
BUTCT,0.0,-175.58467590308283
TGBPA_num1,0.0,44.13870923049376
MANAO,0.0,253.63168323047825
TAGURr,0.0,366.273704201054
DMSOR1_num1,0.0,359.16104758924706
PGLYCP,0.0,-228.44534792844573
2DGULRx,0.0,-143.52313810746813
DKGLCNR2y,0.0,-270.93651615222734
G1PTT_num1,0.0,-1103.0250868990768
TDPGDH_num1,0.0,-143.0527514492478
ADCS,0.00023271459490550894,-661.3288096627507
ADCL_num1,0.0,378.06514041374317
2DGULRy,0.0,-118.99462073606804
DHAPT,0.0,237.2217210895905
EX_lac__D_e,0.0,-2.0
UDPGALM,0.0,-7.773512146351095
TDPDRE,0.0,11988.234711996683
TDPDRR,0.0,-202.35636894960314
UMPK_num1,0.13150253025931188,-53.56049136740239
RZ5PP,0.0,-145.65528028701348
DDPGALA,0.0,-74.53580372594803
DURIK1,0.0,528.1114718384342
G3PD6,0.0,724.6860410350366
ALLTN,0.0,-117.62551862781166
UAPGR,0.009666178121425988,-23.410218791216693
UPPRT,0.0,-585.0113851007279
NTD9_num1,0.0,605.577347659603
CTPS2,0.05583932787325127,-535.9868212042602
NTD1_num1,0.0,21.366497602247136
NTD7_num1,0.0,2030.5297708075027
PAPPT3,0.009666178121425988,-15.855196226909356
UAGPT3,0.009666178121425988,-56.10332312695212
NDPK7_num1,0.0,609.1533791434204
AOBUTDs,0.0,3214.6849273555686
GLYAT,0.0,170.28063994424883
ADNUC,0.0,-64.52553797287467
GMHEPPA,0.0,82638.81068346588
S7PI,0.0,-226.07808906055544
TRPS3,0.01977308777012442,-353.36115066240654
EX_ttdcea_e,0.0,42058.974570721155
F6PA_num1,0.0,236.2851370644821
AGMHE,0.0,-400.3827029243257
CRNBTCT,0.0,30.11032471993363
CRNCBCT,0.0,1020.7736153304256
NTD10,0.0,808.203904725402
CRNCDH,0.0,403.3467307368811
GMHEPAT,0.0,-27.66547677330727
EX_h2s_e,0.0,-2.0
ADPT,0.0002341060125133039,-345.7772801476633
EX_gthrd_e,0.0,12599.158850394515
IDOND,0.0,-167.76950750321973
IDOND2,0.0,8.71074003567088
FADRx,0.00028037064797284243,-4.106524457750282
GTPDPK,0.0,819.2859249721378
NADN,0.0,-1.9999999999973
GLYCLTDx_num1,0.0,762.8584313077245
ADK1,0.873642591880218,-20.50566958014133
NDPK2_num1,0.13883460534364386,-85.94523992481118
NDPK3_num1,0.0,72.23631652534823
HPYRRy_num1,0.0,1200.7571628134046
NDPK4_num1,0.009101958281460787,-164.11127821780065
ACODA,0.10289254926201366,-81.23099122534765
ADA,0.0,1227.6623224066452
DADA,0.0,923.2805965393536
ADD,0.0,1226.4730720303041
FCLT_num1,7.757153163516609e-05,-305.8752507172413
HBZOPT,7.757153163516609e-05,-302.896421432529
PNTK,0.0002344538669152774,-6552.88416819823
ADSS,0.10411421392166517,-699.9140175768634
AGDC,0.0,5606.527647469805
OCTDPS,7.757153163516609e-05,-5712.480920866039
ASNN_num1,0.0,1655.311298973679
DPCOAK,0.0002344538669152774,-861.7208667068189
HETZK,0.0,-416.7819177061465
ASNS2_num1,0.08385204286239892,-95.8359152179703
ASPCT_num1,0.0,-263.338477216265
KDOPS,0.013535710488733555,-4168.3068751644405
KDOPP,0.013535710488733555,-196.5535738148543
DMPPS,0.0,11224.444870612406
EX_26dap__M_e,0.0,5815.651854498724
MCOATA,0.8394909424054338,-205.03222092986107
IPDPS,0.0008310241662619343,-1969.004105218325
AST,0.0,-142.10976473222857
SGDS,0.0,-42.97764942419599
CYNTAH,0.0,1032.4214579812137
DAPE,0.12903624254947632,-19.494147848654393
DHDPRy,0.12903624254947632,-201.8396660646567
EX_acnam_e,0.0,8376.267093435905
HSK,0.1893079312123926,-22.19305537636322
SDPTA_num1,0.0,755.4953112019114
