gene,abundance
b2417,1946
b0008,1591
b2415,1399
b2925,1372
b1817,1114
b2029,1060
b2416,1041
b2464,1038
b2097,627
b4025,610
b3386,545
b2914,468
b3916,431
b2465,416
b0767,405
b2935,371
b1819,286
b1852,280
b1101,264
b1723,179
b1818,169
b4090,12.1
b1773,0.831
b4301,0.712
b1621,0.544
