id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,notes,objective_coefficient
TKT2_reverse_num1,,"OrderedDict([('e4p_c', 1.0), ('f6p_c', -1.0), ('g3p_c', -1.0), ('xu5p__D_c', 1.0)])",0.0,1000.0,b2935,"OrderedDict([('reflection', 'TKT2')])",
EX_glc__D_e_reverse,,"OrderedDict([('glc__D_e', 1.0)])",0.0,10.0,,"OrderedDict([('reflection', 'EX_glc__D_e')])",
EX_glc__D_c_reverse,,"OrderedDict([('glc__D_c', -1.0), ('glc__D_e', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_glc__D_c')])",
EX_pyr_c_reverse,,"OrderedDict([('pyr_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_pyr_c')])",
EX_pep_c_reverse,,"OrderedDict([('pep_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_pep_c')])",
EX_adp_c_reverse,,"OrderedDict([('adp_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_adp_c')])",
EX_atp_c_reverse,,"OrderedDict([('atp_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_atp_c')])",
EX_h_c_reverse,,"OrderedDict([('h_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_h_c')])",
EX_h2o_c_reverse,,"OrderedDict([('h2o_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_h2o_c')])",
EX_co2_c_reverse,,"OrderedDict([('co2_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_co2_c')])",
EX_nadph_c_reverse,,"OrderedDict([('nadph_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_nadph_c')])",
EX_nadp_c_reverse,,"OrderedDict([('nadp_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_nadp_c')])",
EX_dhap_c_reverse,,"OrderedDict([('dhap_c', 1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_dhap_c')])",
GLCpts_num2,Glucose Phosphate Translocator,"OrderedDict([('g6p_c', 1.0), ('glc__D_e', -1.0), ('pep_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b1817 and b1818 and b1819 and b2415 and b2416,,
GLCpts_num3,Glucose Phosphate Translocator,"OrderedDict([('g6p_c', 1.0), ('glc__D_e', -1.0), ('pep_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b2417 and b1621 and b2415 and b2416,,
PFK_num2,Phosphofructokinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('f6p_c', -1.0), ('fdp_c', 1.0), ('h_c', 1.0)])",0.0,1000.0,b1723,,
FBA_num2,Fructose-bisphosphate Aldolase,"OrderedDict([('dhap_c', 1.0), ('fdp_c', -1.0), ('g3p_c', 1.0)])",0.0,1000.0,b1773,"OrderedDict([('reflection', 'FBA_reverse')])",
FBA_num3,Fructose-bisphosphate Aldolase,"OrderedDict([('dhap_c', 1.0), ('fdp_c', -1.0), ('g3p_c', 1.0)])",0.0,1000.0,b2925,"OrderedDict([('reflection', 'FBA_reverse')])",
RPE_num2,Ribulose-5-phosphate-3-epimerase,"OrderedDict([('ru5p__D_c', -1.0), ('xu5p__D_c', 1.0)])",0.0,1000.0,b4301,"OrderedDict([('reflection', 'RPE_reverse')])",
RPI_num2,Ribose-5-phosphate isomerase,"OrderedDict([('r5p_c', -1.0), ('ru5p__D_c', 1.0)])",0.0,1000.0,b4090,"OrderedDict([('reflection', 'RPI_reverse')])",
TKT1_num2,Transketolase,"OrderedDict([('g3p_c', 1.0), ('r5p_c', -1.0), ('s7p_c', 1.0), ('xu5p__D_c', -1.0)])",0.0,1000.0,b2465,"OrderedDict([('reflection', 'TKT1_reverse')])",
TALA_num2,Transaldolase,"OrderedDict([('e4p_c', 1.0), ('f6p_c', 1.0), ('g3p_c', -1.0), ('s7p_c', -1.0)])",0.0,1000.0,b0008,"OrderedDict([('reflection', 'TALA_reverse')])",
TKT2_num2,Transketolase,"OrderedDict([('e4p_c', -1.0), ('f6p_c', 1.0), ('g3p_c', 1.0), ('xu5p__D_c', -1.0)])",0.0,1000.0,b2465,"OrderedDict([('reflection', 'TKT2_reverse')])",
FBA_reverse_num2,,"OrderedDict([('dhap_c', -1.0), ('fdp_c', 1.0), ('g3p_c', -1.0)])",0.0,1000.0,b1773,"OrderedDict([('reflection', 'FBA')])",
FBA_reverse_num3,,"OrderedDict([('dhap_c', -1.0), ('fdp_c', 1.0), ('g3p_c', -1.0)])",0.0,1000.0,b2925,"OrderedDict([('reflection', 'FBA')])",
RPE_reverse_num2,,"OrderedDict([('ru5p__D_c', 1.0), ('xu5p__D_c', -1.0)])",0.0,1000.0,b4301,"OrderedDict([('reflection', 'RPE')])",
RPI_reverse_num2,,"OrderedDict([('r5p_c', 1.0), ('ru5p__D_c', -1.0)])",0.0,1000.0,b4090,"OrderedDict([('reflection', 'RPI')])",
TKT1_reverse_num2,,"OrderedDict([('g3p_c', -1.0), ('r5p_c', 1.0), ('s7p_c', -1.0), ('xu5p__D_c', 1.0)])",0.0,1000.0,b2465,"OrderedDict([('reflection', 'TKT1')])",
TALA_reverse_num2,,"OrderedDict([('e4p_c', -1.0), ('f6p_c', -1.0), ('g3p_c', 1.0), ('s7p_c', 1.0)])",0.0,1000.0,b0008,"OrderedDict([('reflection', 'TALA')])",
TKT2_reverse_num2,,"OrderedDict([('e4p_c', 1.0), ('f6p_c', -1.0), ('g3p_c', -1.0), ('xu5p__D_c', 1.0)])",0.0,1000.0,b2465,"OrderedDict([('reflection', 'TKT2')])",
